customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,tenure_group,revenue_per_month,avg_monthly_value,service_count,satisfaction_tenure_interaction,satisfaction_monthly_charge_interaction,revenue_tenure_interaction
8779-QRDMV,Male,78,0,1,0,0,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,Q3,0,0,1,Unknown,0,0.0,0,1,DSL,8,0,0,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,Churned,1,91,5433,Competitor,0_12_months,59.65,39.65,3,3,118.94999999999999,59.65
7495-OOKFY,Female,74,0,1,1,1,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,Q3,1,1,8,Offer E,1,48.85,1,1,Fiber Optic,17,0,1,0,0,0,0,0,1,Month-to-Month,1,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,Churned,1,69,5302,Competitor,0_12_months,128.0125,10.08125,5,24,241.95000000000002,8192.8
1658-BYGOY,Male,71,0,1,0,1,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,Q3,0,0,18,Offer D,1,11.33,1,1,Fiber Optic,52,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Churned,1,81,3179,Competitor,13_24_months,106.16000000000001,5.302777777777778,7,36,190.9,34395.840000000004
4598-XLKNJ,Female,78,0,1,1,1,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,Q3,1,1,25,Offer C,1,19.76,0,1,Fiber Optic,12,0,1,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,Churned,1,88,5337,Dissatisfaction,25_48_months,119.8028,3.94,7,50,197.0,74876.75
4846-WHAFZ,Female,80,0,1,1,1,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,Q3,1,1,37,Offer C,1,6.33,1,1,Fiber Optic,14,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,Churned,1,67,2793,Price,25_48_months,83.84756756756757,2.0675675675675675,4,74,153.0,114787.32
4412-YLTKF,Female,72,0,1,0,1,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,Q3,0,0,27,Offer C,1,3.33,1,1,Fiber Optic,18,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,Churned,1,95,4638,Competitor,25_48_months,82.79296296296296,2.890740740740741,4,27,78.05,60356.06999999999
0390-DCFDQ,Female,76,0,1,1,1,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Q3,1,1,1,Offer E,1,15.28,0,1,Fiber Optic,30,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,Churned,1,76,3964,Other,0_12_months,85.73,70.45,3,2,140.9,85.73
3445-HXXGF,Male,66,0,1,1,0,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Q3,1,6,58,Offer B,0,0.0,0,1,DSL,24,0,1,1,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,Churned,1,91,5444,Dissatisfaction,49_plus_months,45.00431034482759,0.7810344827586206,5,58,45.3,151394.5
2656-FMOKZ,Female,70,0,1,0,1,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,Q3,0,0,15,Offer D,1,44.07,1,1,Fiber Optic,19,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,Churned,1,91,5717,Dissatisfaction,13_24_months,120.45,4.963333333333334,4,30,148.9,27101.25
2070-FNEXE,Female,77,0,1,0,1,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,Q3,0,0,7,Offer E,1,26.95,0,1,Fiber Optic,18,1,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Churned,1,81,4419,Price,0_12_months,97.31428571428572,10.921428571428573,3,14,152.9,4768.400000000001
0094-OIFMO,Female,78,0,1,0,1,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,Q3,0,0,11,Offer D,1,11.59,0,1,Fiber Optic,29,0,1,0,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,Churned,1,85,5980,Dissatisfaction,0_12_months,124.34454545454545,8.636363636363637,5,11,95.0,15045.689999999999
9947-OTFQU,Male,65,0,1,0,0,0,United States,California,Covina,91722,34.097345,-117.906736,33817,Q3,0,0,15,Offer D,1,29.11,0,1,Fiber Optic,29,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,Churned,1,86,4616,Competitor,13_24_months,100.72999999999999,4.96,4,15,74.4,22664.249999999996
9514-JDSKI,Male,77,0,1,1,0,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Q3,1,1,1,Offer E,0,0.0,0,1,DSL,12,0,1,0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,Churned,1,65,5828,Dissatisfaction,0_12_months,40.2,40.2,4,2,80.4,40.2
7273-TEFQD,Male,67,0,1,0,0,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,Q3,0,0,3,Offer E,0,0.0,0,1,DSL,28,0,0,1,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,Churned,1,96,2314,Price,0_12_months,44.06666666666666,13.716666666666667,5,6,82.3,396.59999999999997
3606-TWKGI,Male,68,0,1,0,0,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,Q3,0,0,13,Offer D,1,32.68,1,1,Cable,11,0,1,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,Churned,1,84,2494,Competitor,13_24_months,138.39538461538461,8.223076923076924,7,13,106.9,23388.82
4385-GZQXV,Female,68,0,1,0,0,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,Q3,0,0,16,Offer D,1,9.43,0,1,Fiber Optic,9,0,0,0,1,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Churned,1,81,3810,Competitor,13_24_months,103.88,5.903125,7,16,94.45,26593.28
3488-PGMQJ,Male,66,0,1,0,0,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,Q3,0,0,8,Unknown,1,1.78,0,1,Fiber Optic,7,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,Churned,1,80,4345,Dissatisfaction,0_12_months,77.59875,9.3125,4,16,149.0,4966.32
7534-BFESC,Male,69,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,24,Offer C,1,30.87,1,1,Fiber Optic,15,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,Churned,1,91,2018,Competitor,13_24_months,102.2325,3.170833333333333,4,48,152.2,58885.92
8098-LLAZX,Female,74,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,4,Offer E,1,31.61,1,1,Fiber Optic,2,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,Churned,1,85,3677,Competitor,0_12_months,130.635,23.8625,6,12,286.35,2090.16
0265-EDXBD,Male,76,0,1,1,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,1,2,32,Offer C,1,47.34,1,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,Churned,1,69,4105,Attitude,25_48_months,119.3196875,2.340625,4,64,149.8,122183.36
2840-XANRC,Male,77,0,1,1,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,1,1,24,Offer C,1,16.1,0,1,Cable,12,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,Churned,1,73,2212,Competitor,13_24_months,109.06041666666668,3.88125,7,48,186.3,62818.8
5020-ZSTTY,Female,70,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,54,Offer B,1,12.08,1,1,DSL,5,1,1,0,1,1,1,1,1,One Year,0,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Churned,1,83,4149,Competitor,49_plus_months,92.63740740740741,1.526851851851852,10,54,82.45,270130.68
5804-LEPIM,Female,74,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,2,Offer E,1,13.17,0,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,Churned,1,73,2671,Other,0_12_months,82.695,35.175,3,6,211.04999999999998,330.78
0623-IIHUG,Female,77,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,21,Unknown,0,0.0,0,1,Cable,8,1,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,Churned,1,90,4778,Competitor,13_24_months,40.00476190476191,1.9952380952380953,4,21,41.9,17642.100000000002
9057-MSWCO,Male,71,0,1,1,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,27,Unknown,0,0.0,0,1,Cable,13,1,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,Churned,1,91,2927,Competitor,25_48_months,35.00370370370371,1.1388888888888888,2,27,30.75,25517.7
4895-TMWIR,Male,79,0,1,1,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,1,1,11,Unknown,1,29.54,0,0,Unknown,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,Churned,1,80,5888,Competitor,0_12_months,49.06272727272728,1.8136363636363635,1,11,19.95,5936.59
0533-BNWKF,Female,66,0,1,1,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,1,2,55,Offer B,1,42.82,1,1,Fiber Optic,27,0,1,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,Churned,1,91,5502,Competitor,49_plus_months,133.0872727272727,1.5536363636363637,5,55,85.45,402588.99999999994
0334-GDDSO,Male,77,0,1,0,0,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,0,0,3,Offer E,1,9.22,1,1,Fiber Optic,14,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,Churned,1,73,2818,Competitor,0_12_months,87.12,27.116666666666664,5,3,81.35,784.08
5564-NEMQO,Female,80,0,1,0,0,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,Q3,0,0,1,Offer E,1,35.09,0,1,Fiber Optic,17,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,Churned,1,67,4902,Dissatisfaction,0_12_months,130.39,75.3,3,2,150.6,130.39
6235-VDHOM,Female,77,0,1,0,0,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,0,0,5,Offer E,0,0.0,0,1,DSL,26,0,1,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,Churned,1,89,4099,Dissatisfaction,0_12_months,26.21,5.6899999999999995,3,10,56.9,655.25
5609-CEBID,Female,77,0,1,0,0,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,Q3,0,0,20,Unknown,1,48.73,1,1,Fiber Optic,12,0,1,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,Churned,1,87,2666,Competitor,13_24_months,141.85,4.705,6,20,94.1,56740.0
5956-VKDTT,Female,72,0,1,1,0,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,1,4,5,Offer E,1,45.76,1,1,Fiber Optic,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,Churned,1,82,5273,Dissatisfaction,0_12_months,112.72,14.87,4,5,74.35,2818.0
0257-ZESQC,Female,80,0,1,1,0,0,United States,California,Perris,92571,33.828289,-117.201666,26357,Q3,1,2,27,Unknown,1,7.02,0,1,Cable,25,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,Churned,1,91,4517,Attitude,25_48_months,78.4774074074074,2.785185185185185,4,27,75.2,57210.03
2865-TCHJW,Female,74,0,1,0,0,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,Q3,0,0,4,Unknown,1,48.35,1,1,Cable,24,0,0,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Churned,1,74,5808,Competitor,0_12_months,134.9,22.3,6,4,89.2,2158.4
5192-EBGOV,Female,68,0,1,0,0,0,United States,California,Brea,92823,33.924143,-117.79387,1408,Q3,0,0,1,Unknown,1,45.81,1,1,Fiber Optic,21,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,Churned,1,66,4880,Competitor,0_12_months,131.51,85.7,5,1,85.7,131.51
3419-SNJJD,Female,78,0,1,1,0,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Q3,1,3,65,Offer B,1,18.39,1,1,Fiber Optic,28,1,0,1,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,Churned,1,91,4196,Attitude,49_plus_months,122.79615384615384,1.6192307692307693,8,65,105.25,518813.75
4554-YGZIH,Male,75,0,1,1,0,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Q3,1,3,49,Offer B,1,22.92,1,1,Fiber Optic,14,0,1,0,0,0,1,0,1,Month-to-Month,0,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,Churned,1,96,5059,Competitor,49_plus_months,115.72102040816327,1.8377551020408163,6,98,180.1,277846.17
5099-BAILX,Male,77,0,1,1,0,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,1,1,43,Offer B,1,14.52,1,1,Fiber Optic,5,0,1,1,1,1,1,0,1,Month-to-Month,1,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,Churned,1,65,2728,Competitor,25_48_months,123.54093023255813,2.5755813953488373,9,86,221.5,228427.17999999996
4913-EHYUI,Male,80,0,1,1,0,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,Q3,0,0,56,Offer B,1,48.8,1,1,Fiber Optic,12,1,0,1,0,1,1,0,1,One Year,1,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,Churned,1,91,6268,Competitor,49_plus_months,152.27589285714285,1.8669642857142856,8,56,104.55,477537.19999999995
1626-ERCMM,Male,75,0,1,1,0,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,Q3,1,7,20,Unknown,1,5.31,1,1,Fiber Optic,10,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,Churned,1,84,5604,Competitor,13_24_months,100.29249999999999,4.7275,7,20,94.55,40117.0
5644-PDMZC,Female,69,0,1,0,0,0,United States,California,Delano,93215,35.772244,-119.209689,37280,Q3,0,0,2,Unknown,1,47.47,1,1,Fiber Optic,19,0,1,0,0,0,1,1,1,Month-to-Month,0,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,Churned,1,80,2065,Attitude,0_12_months,128.22,44.75,7,4,179.0,512.88
4160-AMJTL,Female,74,0,1,0,0,0,United States,California,Fellows,93224,35.215731,-119.57013,626,Q3,0,0,8,Unknown,1,27.95,0,0,Unknown,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,Churned,1,83,5432,Attitude,0_12_months,48.4875,2.45625,1,16,39.3,3103.2
0823-HSCDJ,Male,76,0,1,0,0,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,0,0,52,Unknown,0,0.0,0,1,DSL,18,0,1,0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,Churned,1,90,5597,Competitor,49_plus_months,49.63269230769231,0.9451923076923077,5,104,98.3,134206.80000000002
0067-DKWBL,Male,69,0,1,0,0,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,0,0,2,Unknown,1,43.99,0,1,DSL,27,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,Churned,1,95,3475,Competitor,0_12_months,89.53999999999999,24.625,4,4,98.5,358.15999999999997
5244-IRFIH,Male,72,0,1,1,0,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,1,1,33,Unknown,1,27.78,1,1,Fiber Optic,8,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,Churned,1,91,4333,Other,25_48_months,121.88757575757576,2.8636363636363638,6,99,283.5,132735.57
2684-EIWEO,Female,69,0,1,0,0,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,0,0,30,Unknown,1,45.88,1,1,Fiber Optic,19,1,1,1,0,0,0,0,1,Month-to-Month,0,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,Churned,1,90,2482,Competitor,25_48_months,137.81833333333333,3.0566666666666666,7,30,91.7,124036.5
6683-VLCTZ,Male,73,0,1,0,0,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,0,0,20,Unknown,1,44.44,1,1,Fiber Optic,13,0,0,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,Churned,1,92,5444,Competitor,13_24_months,142.57999999999998,4.9275,6,60,295.65,57032.0
0691-IFBQW,Female,65,0,1,0,0,0,United States,California,Biola,93606,36.798882,-120.019511,807,Q3,0,0,46,Unknown,1,2.37,1,1,Fiber Optic,20,1,1,1,0,1,1,1,1,One Year,1,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,Churned,1,81,2403,Competitor,25_48_months,108.34391304347828,2.391304347826087,10,46,110.0,229255.72000000003
3643-AHCFP,Male,74,0,1,1,0,0,United States,California,Selma,93662,36.545322,-119.642281,26213,Q3,1,1,7,Unknown,1,21.91,1,1,Cable,11,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,Churned,1,83,3265,Competitor,0_12_months,113.96000000000001,13.657142857142857,6,21,286.79999999999995,5584.04
9231-ZJYAM,Female,65,0,1,0,0,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,Q3,0,0,4,Unknown,1,36.93,0,1,Fiber Optic,18,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,Churned,1,72,5301,Other,0_12_months,110.13,19.7125,4,12,236.54999999999998,1762.08
0727-BMPLR,Female,66,0,1,0,0,0,United States,California,Fresno,93706,36.654614,-119.903674,35790,Q3,0,0,55,Unknown,1,37.38,1,1,Fiber Optic,7,0,0,1,0,1,1,1,0,One Year,1,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,Churned,1,83,5679,Competitor,49_plus_months,139.36727272727273,1.8181818181818181,7,165,300.0,421586.00000000006
