column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
total_extra_data_charges,0.0,0.0,0.0,0.0,0.0,728,10.34
number_of_referrals,0.0,3.0,3.0,-4.5,7.5,676,9.6
total_refunds,0.0,0.0,0.0,0.0,0.0,525,7.45
avg_monthly_gb_download,3.0,27.0,24.0,-33.0,63.0,362,5.14
total_long_distance_charges,70.545,1191.1,1120.5549999999998,-1610.2874999999997,2871.9325,196,2.78
population,2344.0,36125.0,33781.0,-48327.5,86796.5,57,0.81
total_revenue,605.61,4801.145,4195.535000000001,-5687.692500000002,11094.447500000002,21,0.3
age,32.0,60.0,28.0,-10.0,102.0,0,0.0
zip_code,92101.0,95329.0,3228.0,87259.0,100171.0,0,0.0
avg_monthly_long_distance_charges,9.21,36.394999999999996,27.184999999999995,-31.56749999999999,77.17249999999999,0,0.0
tenure_in_months,9.0,55.0,46.0,-60.0,124.0,0,0.0
latitude,33.990646,38.161321,4.170675000000003,27.734633499999994,44.417333500000005,0,0.0
longitude,-121.78809,-117.969795,3.818294999999992,-127.51553249999998,-112.24235250000001,0,0.0
monthly_charge,35.5,89.85,54.349999999999994,-46.02499999999999,171.375,0,0.0
total_charges,400.15,3786.6,3386.45,-4679.525,8866.275,0,0.0
churn_score,40.0,75.5,35.5,-13.25,128.75,0,0.0
cltv,3469.0,5380.5,1911.5,601.75,8247.75,0,0.0
